ID,airline_ID,origin_ID,destination_ID,departure,arrival,distance,date,aircraft,price,currency_code,maximum_seats,occupied_seats
SW0001,SW,SFO,SIN,01:15:00,11:50:00,13523,2024-05-29,767-200,10818,SGD,260,223
SW0001,SW,SFO,SIN,01:15:00,11:50:00,13523,2023-08-02,A340-600,5950,SGD,330,168
SW0002,SW,SIN,SFO,06:30:00,09:15:00,13523,2024-05-30,747-400,11765,SGD,385,350
SW0002,SW,SIN,SFO,06:30:00,09:15:00,13523,2023-08-03,747-400,10953,SGD,385,334
SW0011,SW,NRT,SIN,14:55:00,20:50:00,5363,2024-05-30,767-200,2359,SGD,260,132
SW0011,SW,NRT,SIN,14:55:00,20:50:00,5363,2023-08-03,A340-600,4880,SGD,330,310
SW0012,SW,SIN,NRT,09:53:00,17:54:00,5363,2024-06-01,767-200,4665,SGD,260,236
SW0012,SW,SIN,NRT,09:53:00,17:54:00,5363,2023-08-05,747-400,2574,SGD,385,215
SW0058,SW,SFO,FRA,13:45:00,09:55:00,9608,2024-05-27,767-200,6629,USD,260,200
SW0058,SW,SFO,FRA,13:45:00,09:55:00,9608,2023-07-31,747-400,4996,USD,385,231
SW0059,SW,FRA,SFO,13:55:00,16:30:00,9608,2024-05-28,A340-600,4131,USD,330,161
SW0059,SW,FRA,SFO,13:55:00,16:30:00,9608,2023-08-01,A340-600,6053,USD,330,237
SW1537,SW,EWR,MIA,21:56:00,12:47:00,1752,2024-05-31,A321-200,893,USD,150,88
SW1537,SW,EWR,MIA,21:56:00,12:47:00,1752,2023-08-04,737-800,805,USD,140,75
GA0322,GA,MIA,EWR,20:17:00,23:19:00,1752,2024-06-02,A320-200,1103,USD,130,93
GA0322,GA,MIA,EWR,20:17:00,23:19:00,1752,2023-08-05,A320-200,1611,USD,130,123
GA0017,GA,MIA,HAV,07:19:00,08:03:00,520,2024-05-29,A321-200,462,USD,150,139
GA0017,GA,MIA,HAV,07:19:00,08:03:00,520,2023-08-02,737-800,478,USD,140,133
GA2678,GA,HAV,MIA,06:15:00,10:30:00,520,2024-06-01,A321-200,473,USD,150,141
GA2678,GA,HAV,MIA,06:15:00,10:30:00,520,2023-08-05,A320-200,473,USD,130,122
GA0015,GA,JFK,SFO,07:13:00,10:04:00,4156,2024-05-31,767-200,1911,USD,260,137
GA0015,GA,JFK,SFO,07:13:00,10:04:00,4156,2023-08-04,767-200,3117,USD,260,213
GA0018,GA,SFO,JFK,06:40:00,15:06:00,4156,2024-05-30,A380-800,3781,USD,475,446
GA0018,GA,SFO,JFK,06:40:00,15:06:00,4156,2023-08-03,767-200,3823,USD,260,247
EA0400,EA,FRA,JFK,10:10:00,11:34:00,6162,2024-06-01,A340-600,5484,EUR,330,306
EA0400,EA,FRA,JFK,10:10:00,11:34:00,6162,2023-08-05,767-200,2649,EUR,260,130
EA0401,EA,JFK,FRA,18:30:00,07:45:00,6162,2024-05-31,747-400,3697,EUR,385,265
EA0401,EA,JFK,FRA,18:30:00,07:45:00,6162,2023-08-04,A380-800,4867,EUR,475,403
EA0402,EA,FRA,EWR,13:30:00,15:35:00,6217,2024-05-27,767-200,4911,EUR,260,221
EA0402,EA,FRA,EWR,13:30:00,15:35:00,6217,2023-07-31,747-400,3232,EUR,385,231
EA0403,EA,EWR,FRA,18:09:00,07:30:00,6217,2024-05-27,A340-600,2797,EUR,330,171
EA0403,EA,EWR,FRA,18:09:00,07:30:00,6217,2023-07-31,767-200,2486,EUR,260,117
OC0407,OC,NRT,FRA,13:23:00,15:56:00,9379,2024-05-31,747-400,5346,JPY,385,254
OC0407,OC,NRT,FRA,13:23:00,15:56:00,9379,2023-08-04,A340-600,4032,JPY,330,165
OC0408,OC,FRA,NRT,20:25:00,15:40:00,9379,2024-06-01,A380-800,8159,JPY,475,432
OC0408,OC,FRA,NRT,20:25:00,15:40:00,9379,2023-08-05,747-400,6471,JPY,385,296
FA0788,FA,VCE,NRT,13:25:00,10:13:00,9595,2024-06-01,767-200,7580,EUR,260,221
FA0788,FA,VCE,NRT,13:25:00,10:13:00,9595,2023-08-05,A380-800,8059,EUR,475,422
FA0789,FA,NRT,VCE,14:26:00,21:31:00,9595,2024-05-31,A380-800,8539,EUR,475,441
FA0789,FA,NRT,VCE,14:26:00,21:31:00,9595,2023-08-04,A380-800,5852,EUR,475,325
EA0018,EA,JFK,SFO,09:40:00,18:06:00,4156,2024-06-06,A380-800,3781,USD,475,446
FA0018,FA,JFK,SFO,09:40:00,18:06:00,4156,2024-06-06,A380-800,3781,USD,475,446
OC0018,OC,JFK,SFO,09:40:00,18:06:00,4156,2024-06-06,A380-800,3781,USD,475,446
SW0018,SW,JFK,SFO,09:40:00,18:06:00,4156,2024-06-06,A380-800,3781,USD,475,446
